ERROR: #
IDENTIFIER: include
OPERATOR: <
IDENTIFIER: iostream
OPERATOR: >
KEYWORD: using
KEYWORD: namespace
IDENTIFIER: std
SEPARATOR: ;
KEYWORD: class
IDENTIFIER: Prueba
SEPARATOR: {
KEYWORD: private
OPERATOR: :
KEYWORD: int
IDENTIFIER: x
OPERATOR: =
INTEGER: 10
SEPARATOR: ;
KEYWORD: float
IDENTIFIER: y
OPERATOR: =
FLOAT: 3.14f
SEPARATOR: ;
KEYWORD: double
IDENTIFIER: z
OPERATOR: =
FLOAT: 2.5e3
SEPARATOR: ;
KEYWORD: public
OPERATOR: :
IDENTIFIER: Prueba
SEPARATOR: (
SEPARATOR: )
SEPARATOR: {
IDENTIFIER: x
OPERATOR: ++
SEPARATOR: ;
SEPARATOR: }
KEYWORD: void
IDENTIFIER: funcion
SEPARATOR: (
SEPARATOR: )
SEPARATOR: {
KEYWORD: if
SEPARATOR: (
IDENTIFIER: x
OPERATOR: >
INTEGER: 0
OPERATOR: &&
IDENTIFIER: y
OPERATOR: !=
FLOAT: 0.0
SEPARATOR: )
SEPARATOR: {
IDENTIFIER: cout
OPERATOR: <<
STRING: "Hola mundo"
OPERATOR: <<
IDENTIFIER: endl
SEPARATOR: ;
SEPARATOR: }
KEYWORD: else
SEPARATOR: {
IDENTIFIER: cout
OPERATOR: <<
STRING: "Error"
OPERATOR: <<
IDENTIFIER: endl
SEPARATOR: ;
SEPARATOR: }
SEPARATOR: }
SEPARATOR: }
SEPARATOR: ;
KEYWORD: int
IDENTIFIER: main
SEPARATOR: (
SEPARATOR: )
SEPARATOR: {
KEYWORD: int
IDENTIFIER: a
OPERATOR: =
INTEGER: 100
SEPARATOR: ;
KEYWORD: long
IDENTIFIER: b
OPERATOR: =
INTEGER: 123456L
SEPARATOR: ;
KEYWORD: int
IDENTIFIER: bin
OPERATOR: =
BINARY: 0b1010
SEPARATOR: ;
KEYWORD: int
IDENTIFIER: hex
OPERATOR: =
HEX: 0x1A3F
SEPARATOR: ;
KEYWORD: int
IDENTIFIER: oct
OPERATOR: =
OCTAL: 077
SEPARATOR: ;
KEYWORD: float
IDENTIFIER: f
OPERATOR: =
FLOAT: 10.5f
SEPARATOR: ;
KEYWORD: double
IDENTIFIER: d
OPERATOR: =
FLOAT: 20.3e-2
SEPARATOR: ;
KEYWORD: char
IDENTIFIER: c
OPERATOR: =
CHAR: 'A'
SEPARATOR: ;
IDENTIFIER: string
IDENTIFIER: s
OPERATOR: =
STRING: "Texto con \\n salto"
SEPARATOR: ;
KEYWORD: for
SEPARATOR: (
KEYWORD: int
IDENTIFIER: i
OPERATOR: =
INTEGER: 0
SEPARATOR: ;
IDENTIFIER: i
OPERATOR: <
INTEGER: 10
SEPARATOR: ;
IDENTIFIER: i
OPERATOR: ++
SEPARATOR: )
SEPARATOR: {
IDENTIFIER: a
OPERATOR: +=
IDENTIFIER: i
SEPARATOR: ;
SEPARATOR: }
KEYWORD: while
SEPARATOR: (
IDENTIFIER: a
OPERATOR: >
INTEGER: 0
SEPARATOR: )
SEPARATOR: {
IDENTIFIER: a
OPERATOR: --
SEPARATOR: ;
SEPARATOR: }
KEYWORD: return
INTEGER: 0
SEPARATOR: ;
SEPARATOR: }
